character,direction,line
Pupa,N/A,"Huh, Broccolo!? You’re alive! I can’t believe you made it! I only survived thanks to my new friend Shrek."
Shrek,N/A,"Hi, Broccolo. I’m glad you’re okay. Do you know where we are?"
Broccolo Bernardi,N/A,"Oh, yeah… We’re in Grace Presbyterian Church. See, after Jim Ardis detonated that bomb, I lost consciousness and eventually woke up here. They’ve taken me in as one of their own."
Pupa,N/A,Wow! That’s great! How is it here?
Broccolo Bernardi,N/A,"They are doing things with cringe beyond your wildest dreams. They have harnessed the dark side of cringe, here watch…"
Narrator,N/A,Broccolo Bernardi directs their attention to a man in a lab coat. It is Dr. James Dobson. He is surrounded by beakers.
Dr. James Dobson,N/A,"Hi, kids, today we are going to perform a science experiment that shows us that Jesus is the light of the world who takes away our sins"
Narrator,N/A,Dr. James Dobson proceeds to put black liquid in a dish and then puts a candle in the middle of the same dish and lights it. He is quoting from the Bible nonstop. Dr. James Dobson covers the lit candle in the dish with a glass vase.
Pupa,*to Broccolo Bernardi*,"But, Broccolo, this isn’t the right way to connect with the cringe way deep down in your soul. Look, I have bonded with this cringe-blade-"
Broccolo Bernardi,stunned,What?! Dr. James Dobson has taught me to watch for the heathen wielding the katana infused with cringe. It is you who is not using cringe properly! Cringe is hateful!
Narrator,N/A,"Upon uttering these words, Broccolo Bernardi’s appearance immediately changes. He is now wearing an evil garment and holds an evil version of the cringe-blade."
Shrek,N/A,"Pupa, look out! Your friend has turned to the dark side of cringe!"
Dr. James Dobson,N/A,"… when we believe in Jesus, we know he has taken away our sins. Jesus is the light of the world. Let’s pray."
Broccolo Bernardi,N/A,"No, let’s FIGHT!"
Pupa,N/A,No! Where is the Broccolo Bernardi who was my friend?
Shrek,N/A,"I’m not sure how much more we can do here, Pupa, it seems this world has been lost to the dark side of cringe."
Pupa,N/A,I think you’re right. We gotta get out of here!
Narrator,N/A,Pupa leaps forward into Shrek’s open maw. They both immediately disappear.
Broccolo Bernardi,N/A,Coward!
Narrator,N/A,Thus begins Act IV. Our protagonists find themselves after their hurried escape floating aimlessly in a dark void.
Pupa,N/A,"Shrek, how long do you think we’ve been here?"
Shrek,N/A,"Hard to say, we’re out in the deep cringe now. But wait, what’s that coming near?"
Narrator,N/A,A gargantuan inflated aardvark approaches them.
Inflation Arthur,N/A,Hey! What a wonderful kind of day!
Pupa,N/A,Wow! It’s Arthur! But why is he so rotund?
Shrek,N/A,"You don’t wanna know, little guy."
Inflation Arthur,N/A,"Hi, I’m Inflation Arthur, welcome to the land of DeviantArt. Oh, here comes my friend Spirit, too."
Sexy Spirit,*whinnying while talking*,"Hello newcomers, I am Sexy Spirit: Stallion of the Cimarron. Please you will notice my chiseled horse body and nipples."
Shrek,N/A,"Wow, that is oh so sexy. Do you have any more sexy friends?"
Shadow the Hedgehog,*sultrily*,"Hello there, Mr. Ogre. I am known as Shadow the Hedgehog."
Narrator,N/A,"Shrek feels something he has never felt before, at least not as intensely as he is feeling now. Waves of love crash into him. He is completely infatuated with this edgy hedgehog."
Shrek,*bursting with desire*,Awooooogah!
Pupa,N/A,"Hey, Shrek, what’s going on, we have a job to do! The cringe-blade, remember?"
Shrek,N/A,"I know, Pupa, but for once in my life now I finally feel like I belong, here on DeviantArt! You’re going to have to go through the rest without me."
Shadow the Hedgehog,*sultrily*,"Get ogre here, Shrek!"
Narrator,N/A,"Shrek does not hesitate to run off with Shadow, leaving Pupa alone"
Pupa,N/A,Oh no! Now I’m all alone. And I don’t know what to do next.
Sexy Spirit,N/A,"That’s not true, you’ve still got me!"
Inflation Arthur,N/A,"And me! I know it’s hard losing your best friend Shrek, but look on the bright side. Haven’t you at least learned something about cringe here in DeviantArt land?"
Pupa,N/A,"I guess you’re right. Back with those katana guys and the King, I learned that cringe is just like my family. Here is so different … it seems like cringe is … uh, cringe is …"
Sexy Spirit,N/A,Oh so sexy!
Pupa,N/A,"Yeah! You’re right, it was powerful enough to pull even Shrek under it’s spell. Cringe is oh so sexy!"
Narrator,N/A,The cringe-blade once again glows with a blinding light. The tip of the blade casts a beam seemingly pointing back in the direction of Peoria Island
Pupa,N/A,Huh? What’s this?
Inflation Arthur,N/A,It looks like the cringe blade powered up again and is pointing somewhere. But where?
Pupa,N/A,It’s pointing back where we came from … back to Peoria Island.
Sexy Spirit,N/A,It seems like you should go back there – is the power in your katana?
Pupa,N/A,"Yes, I feel it. I don’t know why, but I need to go back. Cringe-blade, take me back to Peoria Island!"
Narrator,N/A,"Thus begins Act V. The cringe-blade obeys Pupa’s command. He is suddenly back at Peoria Island, but the island was destroyed in the wake of the bomb. Pupa can see no one. Pupa has returned to his home, dark and desolate."
Pupa,N/A,"Man, where is everybody?"
Broccolo Bernardi,*menacingly*,"Well, well, well, looks like we’re the only ones left - just the cringe hero of legend and his old friend, Broccolo Bernardi."
Pupa,N/A,Broccolo! No! You still can’t be taken by the dark side of cringe!
Broccolo Bernardi,N/A,"I’m afraid that’s still the case. And it is my duty to eradicate ones like you, those who dare to defy the dark side of cringe! Cringe is hateful!"
Narrator,N/A,"A wave of dark energy pulses forth from Broccolo and the dark cringe-blade. Unlike before, Pupa holds steadfast."
Pupa,N/A,No! Cringe is just like my family!
Narrator,N/A,Pupa matches the power of Broccolo Bernardi and the wave of dark energy dissipates.
Broccolo Bernardi,N/A,What? You have mastered the art of cringe? This will be tougher than I first thought. CRINGE. IS. HATEFUL.
Narrator,N/A,"Broccolo Bernardi lunges at Pupa with his dark cringe-blade, but is parried by Pupa. They continue to trade blows."
Pupa,*trading sword blows with Broccolo Bernardi*,No! Cringe is just like my family! Cringe is oh so sexy!
Broccolo Bernardi,*trading sword blows with Pupa*,Cringe is hateful!!
Pupa,*trading sword blows with Broccolo Bernardi*,Cringe is oh so sexy! Cringe is just like my family!
Narrator,N/A,"The two continue, locked in combat. Suddenly, Pupa hears the friends he met on his adventure, chanting along with him. They are amplifying his own chants in unison with him. Cringe is just like my family! Cringe is oh so sexy!"
Broccolo Bernardi,N/A,Huh? What’s going on? Who are all these other people saying the same things as you? You can’t seriously think this will defeat the dark side of cringe.
Pupa,N/A,No! I know it will defeat the dark side of cringe! CRINGE. IS. JUST. LIKE. MY. FAMILY. CRINGE. IS. OH. SO. SEXY.
Narrator,N/A,"The chanting power of Pupa’s friends pours into the cringe-blade he wields, charging it for a final strike. Pupa does not hesitate to strike down his friend. He knows what must be done. He has truly relinquished himself to the cringe deep down in his soul. His blade of light purges the darkness from Broccolo Bernardi. In the wake of the attack, Broccolo is left crumpled on the ground. Pupa rushes to him."
Broccolo Bernardi,N/A,"Ow, everything hurts so much. Huh, Pupa? Is that you?"
Pupa,N/A,Broccolo! You’re back to being the good old Broccolo Bernardi who was my friend! You no longer belong to the dark side of cringe!
Broccolo Bernardi,*hopeful*,"That’s right, Pupa. My dark side of cringe has been defeated. But it looks like we have a lot to do to rebuild Peoria Island. What do you say we work together to rebuild?"
Pupa,N/A,"Sounds good, old friend. Sounds good."
Narrator,N/A,"They walk off together, hand in hand, ready to rebuild their island home together, including Broccolo’s old restaurant. They walk away as friends now embracing the cringe way deep down in their souls. THE END"
