Manos,N/A,I guess you could say we’re really really in the belly of the beast now!
Arnolda,N/A,"You said it, Manos! We never plunged the depths of Dreamworks IP at Peoria Secular School."
Bulpy,*Alarmingly*,"Ahh, look out!"
Narrator,N/A,"The students narrowly dodge a hentai meteor that hurtles past them. By the way, Bulpy’s Fantastic Voyage suit has a big “B” on it."
Manos,*Shouting to Bulpy*,Bulpy! Your plan! You’ve got to do something to stop the field trip in its tracks!
Wee John Lad,N/A,"By my calculations, there’s no need to do anything rash."
Bulpy,*At a fever pitch*,ENOUGH IS ENOUGH! I have had it with these Monkey-Fighting sins on this Monday to Friday Bus!
Narrator,N/A,"Bulpy, now blinded in a sin-induced rage, grasps his helmet."
Arnolda,*Shouting to Bulpy*,"Bulpy, NO!"
Bulpy,*fed up*,We need to go home! Here’s what will happen to you all if you just stay here with your hentai!!
Narrator,N/A,"Bulpy removes his Fantastic Voyage helmet, with the big “B” on it, exposing him to the ambient cosmic cringe rays, paralyzing him with pleasure in a permanent ahegao expression."
Manos,*Jokingly*,Looks like Bulpy’s been ran through!
Wee John Lad,N/A,"You said it, Manos!"
Arnolda,*Alarmed*,"Guys, we’ve got to get back out of the computer right now to save Bulpy!"
Narrator,N/A,The three collegemates rush their fossilized friend back aboard the bus to confront Dr. Dongle.
Wee John Lad,*To Dr. Dongle*,"According to my research, Bulpy cannot last much longer in this state. He needs to return to the outside world and receive some sort of medical attention."
Dr. Dongle,N/A,"Right you are, Wee John Lad. Our work here is finished, you now know about hentai."
Wee John Lad,*Confidently*,That’s right!
Narrator,N/A,"The bus shoots off, straight out of the computer’s monitor. We cut to a few weeks later. The gang is now visiting Bulpy in his room at one of those bigass Peoria hospitals. Wee John Lad has brought flowers."
Wee John Lad,*handing Bulpy flowers*,"Here ya go, Bulpy. How are you feeling today?"
Bulpy,N/A,"Not so bad anymore, yeah, not so bad anymore. When I was in that hentai induced coma, I never thought I would get out, I thought I’d be stuck there in the pleasure pit forever. But you three saved me. You’re my real pals."
Arnolda,*jokingly*,Going to the pleasure pit forever is what we called getting expelled at Peoria Secular School.
Manos,N/A,"Nice one, Arnolda!"
Narrator,N/A,"The students, now true friends, embrace in a mega hug. They’ve become bonded forever, like the pages of a salacious manga. And now Wee John Lad knows what that means. THE END"
